vessel_id,event_timestamp,arrival_hour,cargo_volume,berth_wait_minutes,port_congestion,weather,previous_delay_hours,crane_available,delayed
V00022,2024-01-02 20:00:00,20,1450.1,38.8,High,Clear,2.39,1,0
V00023,2024-01-02 22:00:00,22,830.5,11.8,Low,Clear,1.65,0,0
V00024,2024-01-03 00:00:00,0,707.3,63.2,High,Rain,1.73,1,0
V00025,2024-01-03 02:00:00,2,741.5,61.3,High,Clear,0.98,0,0
V00026,2024-01-03 04:00:00,4,1139.5,74.5,Medium,Clear,0.3,1,0
V00027,2024-01-03 06:00:00,6,1064.4,104.3,High,Clear,0.91,1,0
V00028,2024-01-03 08:00:00,8,1085.7,90.3,Low,Cloudy,1.18,1,1
V00029,2024-01-03 10:00:00,10,1093.9,30.9,Medium,Clear,2.48,1,0
V00030,2024-01-03 12:00:00,12,1863.7,74.9,Low,Rain,3.79,1,1
V00031,2024-01-03 14:00:00,14,717.1,89.8,Medium,Clear,1.43,0,0
V00032,2024-01-03 16:00:00,16,669.5,29.2,Low,Clear,2.28,0,0
V00033,2024-01-03 18:00:00,18,533.8,46.8,Low,Clear,0.04,1,1
V00034,2024-01-03 20:00:00,20,1177.2,66.0,Low,Clear,0.76,1,1
V00035,2024-01-03 22:00:00,22,1408.0,33.5,Low,Clear,0.97,1,0
V00036,2024-01-04 00:00:00,0,848.7,46.6,Medium,Rain,1.61,1,0
V00037,2024-01-04 02:00:00,2,521.9,34.3,Medium,Clear,3.86,0,1
V00038,2024-01-04 04:00:00,4,529.0,0.0,Low,Cloudy,1.36,1,0
V00039,2024-01-04 06:00:00,6,1192.8,81.8,High,Clear,0.12,1,1
V00040,2024-01-04 08:00:00,8,1234.5,62.3,High,Cloudy,1.75,1,1
V00041,2024-01-04 10:00:00,10,1144.4,8.1,Low,Clear,0.7,1,0
V00042,2024-01-04 12:00:00,12,600.5,60.6,Medium,Clear,1.61,1,0
V00043,2024-01-04 14:00:00,14,1004.5,13.7,Medium,Clear,1.87,1,0
V00044,2024-01-04 16:00:00,16,952.5,70.2,Medium,Storm,0.1,0,1
V00045,2024-01-04 18:00:00,18,998.4,62.1,Medium,Rain,0.93,1,1
V00046,2024-01-04 20:00:00,20,1292.1,40.0,Medium,Rain,0.96,1,1
V00047,2024-01-04 22:00:00,22,1000.6,33.4,Low,Rain,1.34,1,1
V00048,2024-01-05 00:00:00,0,1205.5,5.2,Low,Clear,0.48,1,0
V00049,2024-01-05 02:00:00,2,930.4,68.8,Medium,Clear,0.34,1,0
V00050,2024-01-05 04:00:00,4,1030.1,54.7,Medium,Clear,3.81,0,1
V00051,2024-01-05 06:00:00,6,1184.1,86.5,High,Rain,1.23,1,1
V00052,2024-01-05 08:00:00,8,244.3,47.5,Low,Clear,0.39,1,0
V00053,2024-01-05 10:00:00,10,756.1,18.9,Low,Clear,0.59,1,0
V00054,2024-01-05 12:00:00,12,688.3,0.0,Low,Cloudy,3.95,1,0
V00055,2024-01-05 14:00:00,14,612.5,58.9,Low,Clear,2.86,1,0
V00056,2024-01-05 16:00:00,16,776.2,52.2,Low,Cloudy,0.52,1,0
V00057,2024-01-05 18:00:00,18,1572.7,36.6,Medium,Clear,0.31,1,1
V00058,2024-01-05 20:00:00,20,510.4,60.2,Medium,Cloudy,0.33,1,0
V00059,2024-01-05 22:00:00,22,1335.7,81.4,Medium,Rain,2.63,1,0
V00060,2024-01-06 00:00:00,0,142.7,78.5,Medium,Cloudy,0.66,1,0
V00061,2024-01-06 02:00:00,2,749.3,20.9,Low,Clear,0.17,1,0
V00062,2024-01-06 04:00:00,4,973.2,12.8,Medium,Clear,0.61,1,0
V00063,2024-01-06 06:00:00,6,1163.8,2.1,Low,Clear,1.33,1,0
V00064,2024-01-06 08:00:00,8,1220.1,72.2,High,Clear,0.91,1,1
V00065,2024-01-06 10:00:00,10,1257.0,71.6,Low,Cloudy,2.9,1,0
V00066,2024-01-06 12:00:00,12,743.1,31.8,Medium,Clear,1.34,0,0
V00067,2024-01-06 14:00:00,14,691.9,65.1,High,Clear,1.51,0,1
V00068,2024-01-06 16:00:00,16,1286.1,34.6,Medium,Clear,2.17,0,0
V00069,2024-01-06 18:00:00,18,813.9,36.7,Medium,Rain,2.08,1,1
V00070,2024-01-06 20:00:00,20,325.9,49.7,Medium,Clear,0.61,1,0
V00071,2024-01-06 22:00:00,22,390.0,3.0,Low,Clear,0.31,1,0
V00072,2024-01-07 00:00:00,0,486.2,77.1,Medium,Clear,1.25,1,1
V00073,2024-01-07 02:00:00,2,1123.7,76.4,High,Clear,1.1,0,1
V00074,2024-01-07 04:00:00,4,964.1,142.0,High,Rain,1.35,0,1
V00075,2024-01-07 06:00:00,6,1210.7,20.7,Medium,Clear,1.45,1,1
V00076,2024-01-07 08:00:00,8,707.7,74.7,Low,Cloudy,3.6,1,1
V00077,2024-01-07 10:00:00,10,971.3,114.8,High,Cloudy,0.78,1,1
V00078,2024-01-07 12:00:00,12,1181.5,39.7,Medium,Rain,1.5,0,1
V00079,2024-01-07 14:00:00,14,760.8,25.1,Low,Cloudy,0.31,0,1
V00080,2024-01-07 16:00:00,16,1105.5,12.0,Low,Rain,0.44,1,0
V00081,2024-01-07 18:00:00,18,602.1,12.3,Low,Clear,1.04,1,0
V00082,2024-01-07 20:00:00,20,736.6,50.0,Medium,Clear,0.37,0,0
V00083,2024-01-07 22:00:00,22,728.2,35.5,Low,Cloudy,1.78,1,0
V00084,2024-01-08 00:00:00,0,361.9,0.0,Low,Cloudy,1.56,1,0
V00085,2024-01-08 02:00:00,2,1119.1,92.3,Low,Clear,0.53,0,1
V00086,2024-01-08 04:00:00,4,688.8,73.5,High,Clear,0.84,0,1
V00087,2024-01-08 06:00:00,6,905.6,36.6,Low,Clear,2.65,1,0
V00088,2024-01-08 08:00:00,8,1116.3,19.3,Low,Clear,1.24,1,1
V00089,2024-01-08 10:00:00,10,1100.9,43.3,Medium,Clear,5.24,1,1
V00090,2024-01-08 12:00:00,12,1199.4,26.1,Low,Clear,0.84,1,0
V00091,2024-01-08 14:00:00,14,855.7,79.9,High,Clear,0.94,1,1
V00092,2024-01-08 16:00:00,16,709.5,79.6,High,Cloudy,1.04,1,0
V00093,2024-01-08 18:00:00,18,864.1,70.1,Medium,Cloudy,0.14,1,0
V00094,2024-01-08 20:00:00,20,140.7,55.7,Medium,Cloudy,0.9,1,1
V00095,2024-01-08 22:00:00,22,248.8,67.6,Medium,Cloudy,0.87,1,0
V00096,2024-01-09 00:00:00,0,304.8,34.8,Low,Clear,1.91,0,0
V00097,2024-01-09 02:00:00,2,451.2,40.8,Low,Clear,2.73,1,0
V00098,2024-01-09 04:00:00,4,1079.9,29.0,Low,Cloudy,0.77,1,0
V00099,2024-01-09 06:00:00,6,492.5,60.1,Low,Rain,0.05,1,0
V00100,2024-01-09 08:00:00,8,729.8,58.1,Medium,Cloudy,1.19,1,1
V00101,2024-01-09 10:00:00,10,1484.7,31.0,Low,Cloudy,0.37,1,1
V00102,2024-01-09 12:00:00,12,739.7,30.3,Low,Cloudy,1.29,0,0
V00103,2024-01-09 14:00:00,14,1231.9,47.3,Medium,Cloudy,1.26,1,0
V00104,2024-01-09 16:00:00,16,479.9,50.8,Medium,Cloudy,0.49,1,0
V00105,2024-01-09 18:00:00,18,807.6,33.6,Low,Cloudy,1.2,0,0
V00106,2024-01-09 20:00:00,20,472.5,21.0,Low,Clear,0.18,1,0
V00107,2024-01-09 22:00:00,22,747.4,54.1,Low,Clear,1.36,1,0
V00108,2024-01-10 00:00:00,0,1278.1,55.7,Low,Clear,2.06,1,1
V00109,2024-01-10 02:00:00,2,122.7,124.6,High,Clear,1.62,1,0
V00110,2024-01-10 04:00:00,4,1095.5,64.9,High,Rain,0.62,0,1
V00111,2024-01-10 06:00:00,6,1007.0,66.7,Medium,Clear,1.94,1,0
V00112,2024-01-10 08:00:00,8,632.6,2.3,Medium,Clear,1.76,1,0
V00113,2024-01-10 10:00:00,10,249.3,70.7,Medium,Rain,1.83,1,0
V00114,2024-01-10 12:00:00,12,932.5,13.6,Medium,Clear,2.99,1,0
V00115,2024-01-10 14:00:00,14,661.7,10.4,Low,Rain,1.47,1,0
V00116,2024-01-10 16:00:00,16,1004.7,43.3,Low,Clear,0.32,1,0
V00117,2024-01-10 18:00:00,18,909.8,34.5,Medium,Clear,0.39,1,0
V00118,2024-01-10 20:00:00,20,1620.8,31.0,Medium,Clear,1.47,0,0
V00119,2024-01-10 22:00:00,22,792.3,22.9,Low,Clear,0.88,1,0
V00120,2024-01-11 00:00:00,0,439.4,53.2,Low,Clear,0.73,1,0
V00121,2024-01-11 02:00:00,2,980.7,11.7,Low,Clear,1.72,1,0
V00122,2024-01-11 04:00:00,4,999.0,33.6,Low,Clear,0.25,1,0
V00123,2024-01-11 06:00:00,6,1511.6,40.5,Medium,Clear,1.75,1,1
V00124,2024-01-11 08:00:00,8,1275.8,70.5,Medium,Rain,0.83,1,1
V00125,2024-01-11 10:00:00,10,1060.6,71.2,Medium,Clear,1.39,1,0
V00126,2024-01-11 12:00:00,12,1558.5,0.0,Low,Clear,0.28,1,0
V00127,2024-01-11 14:00:00,14,365.1,61.1,Low,Clear,1.8,0,0
V00128,2024-01-11 16:00:00,16,612.1,64.7,High,Rain,2.36,1,1
V00129,2024-01-11 18:00:00,18,483.0,55.9,Medium,Rain,8.61,1,1
V00130,2024-01-11 20:00:00,20,724.6,11.5,Low,Storm,1.31,1,0
V00131,2024-01-11 22:00:00,22,280.5,44.3,Low,Rain,2.29,1,0
V00132,2024-01-12 00:00:00,0,1185.8,143.8,High,Clear,0.37,0,1
V00133,2024-01-12 02:00:00,2,800.0,83.2,High,Cloudy,2.87,0,1
V00134,2024-01-12 04:00:00,4,238.1,68.5,High,Clear,0.2,0,0
V00135,2024-01-12 06:00:00,6,443.0,44.2,Medium,Rain,3.77,1,0
V00136,2024-01-12 08:00:00,8,1041.1,13.3,Medium,Clear,1.2,0,1
V00137,2024-01-12 10:00:00,10,1277.2,86.2,Medium,Clear,0.22,1,0
V00138,2024-01-12 12:00:00,12,1798.5,42.8,Low,Rain,0.75,1,1
V00139,2024-01-12 14:00:00,14,2211.2,23.8,Medium,Rain,2.27,1,1
V00140,2024-01-12 16:00:00,16,1086.5,24.6,Medium,Storm,0.9,1,0
V00141,2024-01-12 18:00:00,18,454.7,35.4,Low,Clear,0.89,1,0
V00142,2024-01-12 20:00:00,20,100.0,103.3,High,Clear,2.11,1,0
V00143,2024-01-12 22:00:00,22,1020.5,21.2,Medium,Clear,0.97,0,1
V00144,2024-01-13 00:00:00,0,534.2,62.8,Low,Clear,2.73,1,0
V00145,2024-01-13 02:00:00,2,713.1,32.7,Low,Clear,0.6,1,0
V00146,2024-01-13 04:00:00,4,624.6,56.7,High,Clear,0.12,1,0
V00147,2024-01-13 06:00:00,6,836.6,68.3,High,Rain,1.02,1,1
V00148,2024-01-13 08:00:00,8,1379.7,93.7,Medium,Clear,1.14,1,0
V00149,2024-01-13 10:00:00,10,970.7,45.3,High,Cloudy,0.58,1,0
V00150,2024-01-13 12:00:00,12,828.6,61.7,High,Rain,1.36,0,0
V00151,2024-01-13 14:00:00,14,434.0,103.8,High,Cloudy,0.16,1,0
V00152,2024-01-13 16:00:00,16,146.4,85.4,High,Clear,1.39,1,0
V00153,2024-01-13 18:00:00,18,681.2,30.2,Medium,Clear,0.3,1,0
V00154,2024-01-13 20:00:00,20,875.8,104.1,High,Clear,0.22,1,0
V00155,2024-01-13 22:00:00,22,1695.6,75.3,Medium,Cloudy,1.11,1,1
V00156,2024-01-14 00:00:00,0,958.6,58.3,Medium,Clear,0.2,1,0
V00157,2024-01-14 02:00:00,2,1342.2,19.7,Low,Clear,0.07,0,1
V00158,2024-01-14 04:00:00,4,675.3,38.5,Medium,Storm,1.55,1,0
V00159,2024-01-14 06:00:00,6,366.8,87.1,High,Cloudy,0.35,1,0
V00160,2024-01-14 08:00:00,8,465.7,2.2,Low,Rain,1.69,1,0
V00161,2024-01-14 10:00:00,10,573.6,113.2,High,Clear,0.8,1,0
V00162,2024-01-14 12:00:00,12,1857.8,92.5,Medium,Storm,1.11,1,1
V00163,2024-01-14 14:00:00,14,530.4,29.1,Low,Clear,2.3,1,0
V00164,2024-01-14 16:00:00,16,1277.3,43.9,Low,Clear,1.48,1,1
V00165,2024-01-14 18:00:00,18,493.7,109.6,High,Rain,1.72,1,0
V00166,2024-01-14 20:00:00,20,1319.2,98.9,Medium,Rain,1.67,0,0
V00167,2024-01-14 22:00:00,22,1073.2,73.9,Low,Clear,0.52,1,1
V00168,2024-01-15 00:00:00,0,829.5,6.6,Medium,Clear,1.42,1,1
V00169,2024-01-15 02:00:00,2,881.7,27.1,Low,Clear,0.4,1,0
V00170,2024-01-15 04:00:00,4,605.3,62.5,Medium,Rain,1.43,1,1
V00171,2024-01-15 06:00:00,6,1100.7,67.6,High,Rain,0.77,1,1
V00172,2024-01-15 08:00:00,8,695.3,94.6,Medium,Clear,0.93,1,0
V00173,2024-01-15 10:00:00,10,348.5,120.7,High,Clear,3.46,1,1
V00174,2024-01-15 12:00:00,12,324.9,29.6,Medium,Cloudy,1.61,1,0
V00175,2024-01-15 14:00:00,14,977.7,75.9,High,Cloudy,0.57,1,0
V00176,2024-01-15 16:00:00,16,1610.6,16.3,Low,Clear,0.15,1,0
V00177,2024-01-15 18:00:00,18,972.0,30.1,Low,Cloudy,1.14,1,0
V00178,2024-01-15 20:00:00,20,846.6,29.4,Low,Storm,0.18,1,0
V00179,2024-01-15 22:00:00,22,1028.6,73.9,Medium,Clear,0.95,1,0
V00180,2024-01-16 00:00:00,0,1487.7,27.8,Medium,Cloudy,2.12,1,1
V00181,2024-01-16 02:00:00,2,998.7,0.0,Medium,Cloudy,0.24,1,0
V00182,2024-01-16 04:00:00,4,715.1,0.0,Low,Clear,1.57,1,0
V00183,2024-01-16 06:00:00,6,1397.8,9.3,Low,Rain,2.48,1,0
V00184,2024-01-16 08:00:00,8,1092.9,33.6,Medium,Cloudy,1.68,1,0
V00185,2024-01-16 10:00:00,10,1591.1,84.7,High,Clear,2.0,1,1
V00186,2024-01-16 12:00:00,12,982.5,8.0,Low,Clear,1.46,1,0
V00187,2024-01-16 14:00:00,14,349.0,4.7,Low,Cloudy,0.7,1,0
V00188,2024-01-16 16:00:00,16,284.3,11.8,Low,Clear,0.42,0,0
V00189,2024-01-16 18:00:00,18,1642.9,22.1,Medium,Clear,0.5,1,1
V00190,2024-01-16 20:00:00,20,1675.6,21.1,Low,Clear,3.86,1,0
V00191,2024-01-16 22:00:00,22,819.2,20.1,Low,Cloudy,1.25,1,0
V00192,2024-01-17 00:00:00,0,727.6,67.2,Medium,Storm,2.67,0,1
V00193,2024-01-17 02:00:00,2,1557.6,10.3,Low,Cloudy,0.6,1,1
V00194,2024-01-17 04:00:00,4,401.8,41.1,Medium,Rain,1.9,1,0
V00195,2024-01-17 06:00:00,6,497.4,21.4,Low,Clear,0.39,1,0
V00196,2024-01-17 08:00:00,8,1189.5,100.2,High,Clear,0.82,1,0
V00197,2024-01-17 10:00:00,10,722.4,46.1,Medium,Storm,0.67,1,0
V00198,2024-01-17 12:00:00,12,897.7,61.3,Low,Clear,3.54,1,0
V00199,2024-01-17 14:00:00,14,826.5,6.2,Low,Rain,0.46,1,0
V00200,2024-01-17 16:00:00,16,1051.9,48.8,Medium,Clear,1.74,1,0
V00201,2024-01-17 18:00:00,18,1533.4,65.6,High,Clear,1.49,0,1
V00202,2024-01-17 20:00:00,20,940.8,4.3,Low,Cloudy,0.27,1,0
V00203,2024-01-17 22:00:00,22,1189.8,33.3,Low,Clear,2.69,1,1
V00204,2024-01-18 00:00:00,0,100.0,78.3,Low,Clear,2.93,1,0
V00205,2024-01-18 02:00:00,2,878.1,28.7,Medium,Clear,1.25,0,0
V00206,2024-01-18 04:00:00,4,520.5,76.8,High,Clear,1.08,1,0
V00207,2024-01-18 06:00:00,6,351.5,17.2,Medium,Clear,0.12,1,0
V00208,2024-01-18 08:00:00,8,504.8,0.0,Low,Rain,0.22,1,0
V00209,2024-01-18 10:00:00,10,749.6,60.3,High,Clear,0.8,0,0
V00210,2024-01-18 12:00:00,12,1312.2,38.8,Medium,Rain,0.4,0,1
V00211,2024-01-18 14:00:00,14,303.1,24.9,Low,Cloudy,2.13,1,0
V00212,2024-01-18 16:00:00,16,913.8,29.3,Low,Clear,0.21,1,1
V00213,2024-01-18 18:00:00,18,682.1,8.8,Medium,Clear,0.19,1,0
V00214,2024-01-18 20:00:00,20,752.5,64.4,High,Rain,1.61,1,0
V00215,2024-01-18 22:00:00,22,1351.2,62.5,Medium,Cloudy,1.4,1,0
V00216,2024-01-19 00:00:00,0,1142.2,16.0,Medium,Rain,1.18,1,0
V00217,2024-01-19 02:00:00,2,1501.8,71.1,High,Clear,1.91,1,0
V00218,2024-01-19 04:00:00,4,830.5,42.3,Low,Cloudy,0.55,1,0
V00219,2024-01-19 06:00:00,6,586.8,15.4,Low,Rain,0.7,1,0
V00220,2024-01-19 08:00:00,8,799.3,43.5,Low,Storm,1.37,1,0
V00221,2024-01-19 10:00:00,10,1009.1,42.0,High,Clear,1.25,1,0
V00222,2024-01-19 12:00:00,12,979.5,72.2,Medium,Storm,0.44,1,1
V00223,2024-01-19 14:00:00,14,412.0,44.1,Low,Clear,2.4,1,0
V00224,2024-01-19 16:00:00,16,940.7,36.4,Low,Rain,0.28,0,1
V00225,2024-01-19 18:00:00,18,1002.7,78.1,Medium,Clear,0.76,1,0
V00226,2024-01-19 20:00:00,20,2032.9,41.8,Medium,Cloudy,0.3,1,1
V00227,2024-01-19 22:00:00,22,1744.6,34.6,Medium,Clear,5.11,1,0
V00228,2024-01-20 00:00:00,0,516.0,69.3,Low,Rain,1.1,1,0
V00229,2024-01-20 02:00:00,2,770.7,126.0,High,Clear,0.37,0,1
V00230,2024-01-20 04:00:00,4,241.5,62.7,High,Clear,0.68,0,0
V00231,2024-01-20 06:00:00,6,634.2,47.2,Medium,Cloudy,1.35,1,0
V00232,2024-01-20 08:00:00,8,1042.0,76.1,Medium,Cloudy,2.11,1,1
V00233,2024-01-20 10:00:00,10,1442.6,78.0,High,Clear,0.42,1,1
V00234,2024-01-20 12:00:00,12,571.9,94.9,High,Cloudy,3.05,0,0
V00235,2024-01-20 14:00:00,14,605.6,69.5,Medium,Clear,1.07,1,0
V00236,2024-01-20 16:00:00,16,100.0,35.9,Medium,Cloudy,1.62,1,0
V00237,2024-01-20 18:00:00,18,826.8,60.5,Medium,Cloudy,0.63,1,1
V00238,2024-01-20 20:00:00,20,421.9,79.8,High,Cloudy,1.44,1,0
V00239,2024-01-20 22:00:00,22,661.8,19.6,Medium,Rain,0.58,1,0
V00240,2024-01-21 00:00:00,0,505.4,10.3,Low,Clear,0.71,1,1
V00241,2024-01-21 02:00:00,2,857.6,18.7,Low,Clear,2.18,1,0
V00242,2024-01-21 04:00:00,4,109.0,103.2,High,Cloudy,1.55,1,0
V00243,2024-01-21 06:00:00,6,239.8,104.0,High,Clear,0.78,0,0
V00244,2024-01-21 08:00:00,8,1858.2,98.7,High,Clear,2.09,1,1
V00245,2024-01-21 10:00:00,10,320.7,61.0,Medium,Rain,1.31,1,0
V00246,2024-01-21 12:00:00,12,406.4,90.3,High,Clear,0.09,0,0
V00247,2024-01-21 14:00:00,14,1726.6,86.9,High,Clear,0.93,0,0
V00248,2024-01-21 16:00:00,16,2207.3,45.2,Low,Storm,2.14,1,1
V00249,2024-01-21 18:00:00,18,372.8,46.9,Low,Clear,3.77,1,0
V00250,2024-01-21 20:00:00,20,734.3,44.9,High,Clear,0.33,1,0
V00251,2024-01-21 22:00:00,22,1053.7,15.2,Low,Clear,2.03,0,1
V00252,2024-01-22 00:00:00,0,1677.9,24.3,Medium,Clear,1.06,1,1
V00253,2024-01-22 02:00:00,2,455.9,77.7,Medium,Cloudy,0.27,1,0
V00254,2024-01-22 04:00:00,4,789.6,91.4,Medium,Rain,0.3,1,0
V00255,2024-01-22 06:00:00,6,1249.8,0.0,Low,Cloudy,0.35,1,0
V00256,2024-01-22 08:00:00,8,1095.6,89.1,Medium,Clear,0.17,1,0
V00257,2024-01-22 10:00:00,10,730.7,37.2,Low,Clear,0.24,0,0
V00258,2024-01-22 12:00:00,12,839.8,105.3,High,Clear,1.1,1,0
V00259,2024-01-22 14:00:00,14,281.3,47.7,Low,Cloudy,0.09,1,0
V00260,2024-01-22 16:00:00,16,792.8,86.0,Medium,Cloudy,0.42,1,1
V00261,2024-01-22 18:00:00,18,780.1,85.2,High,Clear,0.72,0,0
V00262,2024-01-22 20:00:00,20,1004.5,0.9,Low,Rain,0.43,1,0
V00263,2024-01-22 22:00:00,22,650.1,32.4,Low,Rain,0.21,1,0
V00264,2024-01-23 00:00:00,0,1112.2,92.9,High,Clear,1.03,1,1
V00265,2024-01-23 02:00:00,2,1355.7,29.6,Low,Cloudy,0.45,1,0
V00266,2024-01-23 04:00:00,4,969.9,51.4,Low,Cloudy,0.89,1,1
V00267,2024-01-23 06:00:00,6,1058.3,48.4,Medium,Clear,1.73,1,0
V00268,2024-01-23 08:00:00,8,923.9,65.1,High,Clear,0.53,1,0
V00269,2024-01-23 10:00:00,10,900.0,22.9,Medium,Cloudy,0.56,0,0
V00270,2024-01-23 12:00:00,12,575.3,40.2,Medium,Rain,0.26,1,0
V00271,2024-01-23 14:00:00,14,1042.4,85.1,High,Cloudy,2.12,0,0
V00272,2024-01-23 16:00:00,16,856.2,1.0,Medium,Cloudy,1.05,1,0
V00273,2024-01-23 18:00:00,18,1841.9,30.5,Medium,Cloudy,2.02,1,1
V00274,2024-01-23 20:00:00,20,1608.0,0.1,Medium,Clear,2.28,1,1
V00275,2024-01-23 22:00:00,22,1073.6,19.6,Low,Clear,0.53,1,0
V00276,2024-01-24 00:00:00,0,556.6,64.9,Low,Clear,1.9,1,0
V00277,2024-01-24 02:00:00,2,399.4,20.3,Medium,Rain,1.14,0,1
V00278,2024-01-24 04:00:00,4,1436.0,52.6,Low,Rain,0.58,1,1
V00279,2024-01-24 06:00:00,6,1018.2,121.2,Medium,Rain,0.49,1,1
V00280,2024-01-24 08:00:00,8,1116.1,71.3,Low,Clear,1.02,1,1
V00281,2024-01-24 10:00:00,10,114.9,53.3,Medium,Clear,1.25,1,0
V00282,2024-01-24 12:00:00,12,1317.3,56.5,Low,Cloudy,0.05,1,1
V00283,2024-01-24 14:00:00,14,1104.5,15.8,Medium,Clear,0.67,1,0
V00284,2024-01-24 16:00:00,16,400.3,10.7,Medium,Clear,1.2,1,0
V00285,2024-01-24 18:00:00,18,687.8,50.7,Medium,Rain,1.46,0,1
V00286,2024-01-24 20:00:00,20,1018.7,45.0,Low,Cloudy,0.88,1,0
V00287,2024-01-24 22:00:00,22,923.6,62.4,Low,Cloudy,1.42,1,0
V00288,2024-01-25 00:00:00,0,768.5,65.8,High,Clear,0.49,1,1
V00289,2024-01-25 02:00:00,2,853.4,39.8,Low,Clear,1.39,1,0
V00290,2024-01-25 04:00:00,4,786.6,84.0,High,Clear,1.23,1,1
V00291,2024-01-25 06:00:00,6,968.7,31.7,Low,Clear,2.25,1,0
V00292,2024-01-25 08:00:00,8,1562.2,33.2,Low,Clear,3.17,1,1
V00293,2024-01-25 10:00:00,10,100.0,28.6,Medium,Clear,2.3,1,0
V00294,2024-01-25 12:00:00,12,793.4,57.0,Medium,Storm,0.78,1,0
V00295,2024-01-25 14:00:00,14,979.4,39.9,Low,Clear,0.27,1,0
V00296,2024-01-25 16:00:00,16,1033.2,69.0,High,Clear,0.42,1,0
V00297,2024-01-25 18:00:00,18,732.6,51.6,Low,Clear,3.1,1,1
V00298,2024-01-25 20:00:00,20,109.5,75.7,Medium,Cloudy,1.07,1,0
V00299,2024-01-25 22:00:00,22,1047.6,66.9,Medium,Clear,1.28,1,0
V00300,2024-01-26 00:00:00,0,1677.3,23.9,Medium,Clear,2.01,1,0
V00301,2024-01-26 02:00:00,2,209.8,82.5,High,Clear,1.01,0,0
V00302,2024-01-26 04:00:00,4,1288.7,12.2,Low,Clear,2.57,1,1
V00303,2024-01-26 06:00:00,6,752.2,82.4,High,Cloudy,0.24,0,0
V00304,2024-01-26 08:00:00,8,872.4,27.3,Medium,Clear,1.52,1,0
V00305,2024-01-26 10:00:00,10,426.2,111.9,High,Clear,3.85,1,0
V00306,2024-01-26 12:00:00,12,749.5,99.6,High,Rain,2.73,1,0
V00307,2024-01-26 14:00:00,14,1485.0,108.8,High,Clear,2.86,0,1
V00308,2024-01-26 16:00:00,16,1162.2,76.3,Medium,Cloudy,0.21,1,0
V00309,2024-01-26 18:00:00,18,1679.5,43.2,Medium,Clear,1.22,0,1
V00310,2024-01-26 20:00:00,20,1429.8,39.4,Medium,Cloudy,0.9,1,1
V00311,2024-01-26 22:00:00,22,1097.6,93.5,Medium,Clear,0.42,1,1
V00312,2024-01-27 00:00:00,0,1684.8,45.9,Medium,Clear,1.23,1,1
V00313,2024-01-27 02:00:00,2,1097.5,16.1,Medium,Clear,0.28,1,0
V00314,2024-01-27 04:00:00,4,1272.6,60.2,Low,Storm,1.42,1,1
V00315,2024-01-27 06:00:00,6,766.5,83.6,High,Clear,0.39,1,0
V00316,2024-01-27 08:00:00,8,929.9,72.6,Low,Rain,1.36,1,0
V00317,2024-01-27 10:00:00,10,586.2,86.1,High,Rain,0.44,1,0
V00318,2024-01-27 12:00:00,12,1345.3,34.5,Low,Clear,0.74,1,0
V00319,2024-01-27 14:00:00,14,369.8,73.2,Low,Clear,0.68,1,0
V00320,2024-01-27 16:00:00,16,1252.1,41.5,High,Clear,0.88,1,0
V00321,2024-01-27 18:00:00,18,814.2,65.4,High,Storm,0.97,1,0
